college_code,college_name,place,district,branch_code,branch,category,gender,cutoff_rank
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_A,BOYS,129031
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_A,GIRLS,148571
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_B,BOYS,79270
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_B,GIRLS,79270
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_C,BOYS,29938
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_C,GIRLS,80709
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_D,BOYS,66675
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_D,GIRLS,88154
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_E,BOYS,102225
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,BC_E,GIRLS,102225
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,EWS,BOYS,53223
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,EWS,GIRLS,57772
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,29938
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,OC,GIRLS,29938
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,SC,BOYS,149080
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,SC,GIRLS,149080
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,ST,BOYS,73548
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,COMPUTER SCIENCE AND ENGINEERING,ST,GIRLS,177253
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_A,BOYS,142694
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_A,GIRLS,142694
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_B,BOYS,90021
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_B,GIRLS,91949
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_C,BOYS,31292
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_C,GIRLS,31292
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_D,BOYS,88826
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_D,GIRLS,107588
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_E,BOYS,88515
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_E,GIRLS,103900
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),EWS,BOYS,53269
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),EWS,GIRLS,53269
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,31292
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,GIRLS,31292
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SC,BOYS,157702
